L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   8, 0.00000000000000E+00,-8.00000000000000E+00,-4.00000000000000E+00,-4.00000000000000E+00,-8.00000000000000E+00,-4.00000000000000E+00,-4.00000000000000E+00,-1.00000000000000E+00
   8, 2.18242468765491E-01,-8.09554762219677E+00,-4.88464052260386E+00,-4.61329443354397E+00,-8.09554550931594E+00,-4.81274185448216E+00,-4.81274185448216E+00, 9.93918389796636E-01
   8, 3.71334009759827E-01,-8.27831246010488E+00,-5.58980904260461E+00,-5.08616226930899E+00,-8.27816998093687E+00,-5.45527950071071E+00,-5.45527950071070E+00,-9.81624547684792E-01
   8, 4.83590544643172E-01,-8.47555848725967E+00,-6.14214552854138E+00,-5.45010443396632E+00,-8.47443427758586E+00,-5.95843026986172E+00,-5.95843026986171E+00,-9.67250852483984E-01
   8, 5.69634542146905E-01,-8.66533310259213E+00,-6.57943330593848E+00,-5.73717328699674E+00,-8.66136727794133E+00,-6.35994400575292E+00,-6.35994400575291E+00,-9.52165739414377E-01
   8, 6.38575614518591E-01,-8.84354777612571E+00,-6.93422356047785E+00,-5.97156024002358E+00,-8.83414037383804E+00,-6.69045168113193E+00,-6.69045168113192E+00,-9.36720898322707E-01
   8, 6.96316574356964E-01,-9.01232636499667E+00,-7.23139847502168E+00,-6.17053555005736E+00,-8.99446256063841E+00,-6.97271750170995E+00,-6.97271750170995E+00,-9.20848098765645E-01
   8, 7.46868589480215E-01,-9.17596433501731E+00,-7.48940815932924E+00,-6.34655007937789E+00,-9.14629632946365E+00,-7.22358583710153E+00,-7.22358583710152E+00, 9.04275786144068E-01
   8, 7.93132405742996E-01,-9.33970515257569E+00,-7.72209496188134E+00,-6.50899822940378E+00,-9.29439030312144E+00,-7.45601423623796E+00,-7.45601423623796E+00,-8.86595846182303E-01
   8, 8.37390524073114E-01,-9.50963540683311E+00,-7.94029435792199E+00,-6.66553590341970E+00,-9.44397196704962E+00,-7.68073513817132E+00,-7.68073513817132E+00,-8.67269378795263E-01
   8, 8.81648642403232E-01,-9.69313680250725E+00,-8.15311053007658E+00,-6.82310493168818E+00,-9.60098503885747E+00,-7.90762194963436E+00,-7.90762194963436E+00,-8.45610068894316E-01
   8, 9.27912458666013E-01,-9.89978509856311E+00,-8.36896636912403E+00,-6.98884262366853E+00,-9.77269040802178E+00,-8.14695513797406E+00,-8.14695513797404E+00, 8.20770763673957E-01
   8, 9.78464473789263E-01,-1.01428170889891E+01,-8.59659006699762E+00,-7.17105995983809E+00,-9.96867377261213E+00,-8.41082881318718E+00,-8.41082881318716E+00,-7.91769756470800E-01
   8, 1.00000000000000E+00,-1.02516617909660E+01,-8.69093921483701E+00,-7.24901957082311E+00,-1.00546789842517E+01,-8.52394525479134E+00,-8.52394525479133E+00,-7.79076490676587E-01
   8, 1.03620543362764E+00,-1.04414775293625E+01,-8.84616581076541E+00,-7.38051047031483E+00,-1.02024829883863E+01,-8.71501447179352E+00,-8.71501447179351E+00, 7.57621792568030E-01
   8, 1.10514650599932E+00,-1.08248033624567E+01,-9.13102970539749E+00,-7.63227693385357E+00,-1.04943548516240E+01,-9.08176694066002E+00,-9.08176694066002E+00, 7.17661986319943E-01
   8, 1.19119050350306E+00,-1.13378169037289E+01,-9.47061894049400E+00,-7.94882624282817E+00,-1.08758899886432E+01,-9.54440163048545E+00,-9.54440163048543E+00, 6.72091917350167E-01
